language,change_id,category,old_text,new_text,rationale
EN,A7-11,claim consolidation,"Within the tested configurations, the prototype behaves consistently with the MCAD reasoning model, preserves decision behavior across exercised backend paths, and exhibits the measured semantic-decision cost. Robustness results and ablations support the internal role of the reasoning links relative to the controlled reference specification; ALLOW/BLOCK remains only one policy instantiation.","Within the tested configurations, the prototype behaves consistently with the MCAD reasoning model, preserves decision behavior across exercised backend paths, and exhibits the measured semantic-decision cost. Controlled robustness and targeted ablations show that the manipulated reasoning links are behaviorally consequential under the benchmark reference specification; ALLOW/BLOCK remains only one policy instantiation.",Bound ablation/comparator interpretation to existing controlled evidence; no new result.
FR,A7-12,claim consolidation,"Le prototype évalue une politique stricte où l'indicateur de contribution pilote ALLOW/BLOCK avant exécution backend, alors que le même indicateur peut alimenter notification, avertissement, guidage ou recommandation. L'évaluation combine une trace de bout en bout, 1000 sessions et 7960 décisions, plusieurs entrepôts, deux chemins backend et un benchmark contrôlé de robustesse avec baselines et ablations ciblées. Relativement à sa spécification de référence, MCAD conserve la couverture finale tout en enregistrant des taux nuls de false ALLOW et d'exécutions non contributives; la décision sémantique présente un p50 de 0,337--0,666~ms et un p99 de 0,649--1,461~ms sur les facteurs étudiés, tandis que la croissance du CKG est caractérisée séparément jusqu'à 1693 nœuds et 2406 arêtes. Ces résultats soutiennent la faisabilité dans les configurations testées, sans établir une valeur décisionnelle humaine ni une politique d'interaction universelle.","Le prototype évalue une politique stricte où l'indicateur de contribution pilote ALLOW/BLOCK avant exécution backend, alors que le même indicateur peut alimenter notification, avertissement, guidage ou recommandation. L'évaluation combine une trace de bout en bout, 1000 sessions et 7960 décisions, plusieurs entrepôts, deux chemins backend et un benchmark contrôlé de robustesse avec politiques de référence internes et ablations ciblées. Relativement à sa spécification de référence, MCAD conserve la couverture finale tout en enregistrant des taux nuls de false ALLOW et d'exécutions non contributives; la décision sémantique présente un p50 de 0,337--0,666~ms et un p99 de 0,649--1,461~ms sur les facteurs étudiés, tandis que la croissance du CKG est caractérisée séparément jusqu'à 1693 nœuds et 2406 arêtes. Ces résultats soutiennent la faisabilité dans les configurations testées, sans établir une valeur décisionnelle humaine, une supériorité externe ni une politique d'interaction universelle.",Bound ablation/comparator interpretation to existing controlled evidence; no new result.
FR,A7-13,claim consolidation,"  \item un \textbf{prototype de recherche et une validation empirique ciblée} combinant preuve physique de bout en bout, préservation multi-configuration, baselines et ablations de robustesse, croissance structurelle, latence de décision sémantique et traçabilité explicite des preuves, la porte stricte ALLOW/BLOCK n'étant qu'une instanciation expérimentale de politique.","  \item un \textbf{prototype de recherche et une vérification empirique ciblée} combinant preuve physique de bout en bout, préservation multi-configuration, politiques de référence internes et ablations ciblées de robustesse, croissance structurelle, latence de décision sémantique et traçabilité explicite des preuves, la porte stricte ALLOW/BLOCK n'étant qu'une instanciation expérimentale de politique.",Bound ablation/comparator interpretation to existing controlled evidence; no new result.
FR,A7-14,claim consolidation,"  \item \textbf{RQ4 -- Robustesse et nécessité des composants :} comment MCAD se compare-t-il à des baselines permissives et à des ablations ciblées sous scénarios adversariaux, bruités et plus longs ?","  \item \textbf{RQ4 -- Robustesse contrôlée et sensibilité des composants :} comment MCAD se compare-t-il à des politiques de référence internes et à des ablations ciblées sous scénarios adversariaux, bruités et plus longs ?",Bound ablation/comparator interpretation to existing controlled evidence; no new result.
FR,A7-15,claim consolidation,"Le Tableau~\ref{tab:evaluation-scope} matérialise la couverture de ces questions. Il distingue trois classes de preuve qui ne doivent pas être confondues : (i) les preuves physiques de bout en bout, où la requête atteint effectivement SQL Direct ou XMLA lorsque la politique l'autorise; (ii) le benchmark contrôlé du cœur sémantique, utilisé pour comparer baselines et ablations; et (iii) les caractérisations structurelles et temporelles de la couche MCAD. Cette triangulation augmente la portée empirique sans transformer des tests hétérogènes en réplications interchangeables.","Le Tableau~\ref{tab:evaluation-scope} matérialise la couverture de ces questions. Il distingue trois classes de preuve qui ne doivent pas être confondues : (i) les preuves physiques de bout en bout, où la requête atteint effectivement SQL Direct ou XMLA lorsque la politique l'autorise; (ii) le benchmark contrôlé du cœur sémantique, utilisant des politiques de référence internes et des ablations ciblées; et (iii) les caractérisations structurelles et temporelles de la couche MCAD. Cette triangulation augmente la portée empirique sans transformer des tests hétérogènes en réplications interchangeables.",Bound ablation/comparator interpretation to existing controlled evidence; no new result.
FR,A7-16,claim consolidation,\subsection{Robustesse face aux baselines et aux ablations},\subsection{Robustesse contrôlée et ablations ciblées},Bound ablation/comparator interpretation to existing controlled evidence; no new result.
FR,A7-17,claim consolidation,"La robustesse est évaluée sur quatre familles de scénarios : cas adversariaux portant sur l'admissibilité, cas adversariaux sémantiques, situations bruitées proches de la frontière et séquences plus longues. MCAD est comparé à une politique naïve permissive, une heuristique de recouvrement des mesures, une politique aléatoire appariée et trois ablations qui relâchent individuellement des maillons du raisonnement. Dans ce benchmark contrôlé, un \emph{false ALLOW} désigne une requête autorisée par la politique testée alors que la spécification de référence du scénario attend un blocage; un \emph{false BLOCK} désigne l'inverse. Ces termes décrivent donc des écarts à une référence opérationnelle contrôlée, et non une vérité terrain indépendante sur l'utilité humaine des requêtes ou la qualité finale des décisions.","La robustesse est évaluée sur quatre familles de scénarios : cas adversariaux portant sur l'admissibilité, cas adversariaux sémantiques, situations bruitées proches de la frontière et séquences plus longues. MCAD est comparé à trois politiques de référence internes---une politique naïve permissive, une heuristique de recouvrement des mesures et une politique aléatoire appariée---ainsi qu'à trois ablations ciblées qui relâchent individuellement un maillon du raisonnement. Ces politiques de référence sont des comparateurs diagnostiques, non des réimplémentations de systèmes voisins publiés. Dans ce benchmark contrôlé, un \emph{false ALLOW} désigne une requête autorisée par la politique testée alors que la spécification de référence du scénario attend un blocage; un \emph{false BLOCK} désigne l'inverse. Ces termes décrivent donc des écarts à une référence opérationnelle contrôlée, et non une vérité terrain indépendante sur l'utilité humaine des requêtes ou la qualité finale des décisions.",Bound ablation/comparator interpretation to existing controlled evidence; no new result.
FR,A7-18,claim consolidation,"Dans ce benchmark contrôlé, MCAD conserve la couverture finale des politiques déterministes permissives tout en enregistrant zéro false ALLOW, false BLOCK et exécution non contributive dans chacune des quatre familles. Retirer $\mathrm{SAT}$ porte le false ALLOW moyen à 0,0417 et l'exécution non contributive à 0,125; retirer $\mathrm{Real}$ ou relâcher $C_{\mathrm{eval}}$ les porte à 0,08125 et 0,1875. Ces ablations soutiennent la nécessité interne des maillons manipulés relativement à la spécification de référence, non une supériorité sur des systèmes voisins non réimplémentés sur les mêmes données.","Dans ce benchmark contrôlé, MCAD conserve la couverture finale des politiques déterministes permissives tout en enregistrant zéro false ALLOW, false BLOCK et exécution non contributive dans chacune des quatre familles. Retirer $\mathrm{SAT}$ porte le false ALLOW moyen à 0,0417 et l'exécution non contributive à 0,125; retirer $\mathrm{Real}$ ou relâcher $C_{\mathrm{eval}}$ les porte à 0,08125 et 0,1875. Les trois ablations sont interprétées composant par composant : chaque manipulation dégrade le comportement aligné sur la référence dans au moins une famille exercée, ce qui fournit une évidence de sensibilité montrant que le maillon manipulé est comportementalement conséquent sous cette spécification. Cela n'établit pas que tous les composants de MCAD sont nécessaires dans tout contexte. De plus, les variantes sans $\mathrm{Real}$ et avec $C_{\mathrm{eval}}$ relâché présentent ici des taux agrégés identiques de false ALLOW et d'exécutions non contributives; ce protocole n'identifie donc pas séparément l'amplitude de leur effet. Aucun de ces résultats ne constitue une supériorité directe sur des systèmes voisins.",Bound ablation/comparator interpretation to existing controlled evidence; no new result.
FR,A7-19,claim consolidation,\caption{Taux de \emph{false ALLOW} par famille de scénarios pour MCAD et les principales baselines.},\caption{Taux de \emph{false ALLOW} par famille de scénarios pour MCAD et les politiques de référence internes.},Bound ablation/comparator interpretation to existing controlled evidence; no new result.
FR,A7-20,claim consolidation,"Pris ensemble, les résultats fournissent une triangulation cohérente plutôt qu'une unique preuve monolithique. La trace Q1--Q6 vérifie le mécanisme causal au niveau d'une session; le bloc de 1000 sessions vérifie l'application répétée de la politique stricte avant backend; les études multi-entrepôts et backend apparié testent la préservation de la sémantique dans plusieurs chemins d'exécution; le benchmark de robustesse isole le rôle des composants formels face à des baselines et ablations; enfin, les expériences structurelles et temporelles caractérisent le coût de la couche sémantique. Dans ce périmètre, le cas clé $\mathrm{SAT}=\mathrm{true}$ et $\Delta\varphi=0$ est observé et correctement distingué d'une inadmissibilité. La réagrégation des 7960 décisions renforce cette lecture en montrant qu'une part importante des BLOCK porte le motif primaire de redondance sessionnelle, tandis que le benchmark de robustesse conserve zéro false ALLOW, false BLOCK et exécution non contributive dans chacune de ses quatre familles, relativement à sa spécification de référence. Le résultat scientifique porte donc sur la calculabilité, sa dépendance à l'état de session et la cohérence du mécanisme; l'action opérationnelle reste configurable.","Pris ensemble, les résultats fournissent une triangulation cohérente plutôt qu'une unique preuve monolithique. La trace Q1--Q6 vérifie le mécanisme causal au niveau d'une session; le bloc de 1000 sessions vérifie l'application répétée de la politique stricte avant backend; les études multi-entrepôts et backend apparié testent la préservation de la sémantique dans plusieurs chemins d'exécution; le benchmark de robustesse vérifie la sensibilité des composants au moyen de politiques de référence internes et d'ablations ciblées; enfin, les expériences structurelles et temporelles caractérisent le coût de la couche sémantique. Dans ce périmètre, le cas clé $\mathrm{SAT}=\mathrm{true}$ et $\Delta\varphi=0$ est observé et correctement distingué d'une inadmissibilité. La réagrégation des 7960 décisions renforce cette lecture en montrant qu'une part importante des BLOCK porte le motif primaire de redondance sessionnelle, tandis que le benchmark de robustesse conserve zéro false ALLOW, false BLOCK et exécution non contributive dans chacune de ses quatre familles, relativement à sa spécification de référence. Le résultat scientifique porte donc sur la calculabilité, sa dépendance à l'état de session et la cohérence du mécanisme; l'action opérationnelle reste configurable.",Bound ablation/comparator interpretation to existing controlled evidence; no new result.
FR,A7-21,claim consolidation,"\textbf{Validité expérimentale, comparaison externe et performance.} Les preuves physiques, le benchmark contrôlé de robustesse et les caractérisations structurelles/temporelles répondent à des questions distinctes. Les baselines et ablations évaluent la nécessité interne des maillons du raisonneur; les voisins Djedaini, Negre, IAM et autres approches proches n'ont pas été réimplémentés comme baselines concurrentes, de sorte qu'aucune supériorité expérimentale directe sur ces systèmes n'est revendiquée. La validation physique couvre FoodMart, AdventureWorks et SteelWheels, deux chemins backend (SQL Direct et XMLA/Mondrian), une trace instrumentée, 1000 sessions et des scénarios contrôlés multi-configuration : elle établit une faisabilité multi-contexte et une préservation observée dans les chemins testés, non une invariance universelle. Enfin, les p50/p95/p99 portent sur 118000 observations de décision sémantique et n'incluent ni latence SQL/XMLA, ni contention, ni débit multi-utilisateur; la caractérisation structurelle décrit la croissance du CKG jusqu'au facteur 40 et ne constitue pas un benchmark de capacité industrielle.","\textbf{Validité expérimentale, comparaison externe et performance.} Les preuves physiques, le benchmark contrôlé de robustesse et les caractérisations structurelles/temporelles répondent à des questions distinctes. Les politiques de référence du benchmark sont diagnostiques et les ablations fournissent une évidence de sensibilité uniquement pour les maillons $\mathrm{SAT}$, $\mathrm{Real}$ et $C_{\mathrm{eval}}$ manipulés sous la spécification contrôlée; elles n'établissent pas une nécessité universelle des composants. Les voisins Djedaini, Negre, IAM et autres approches proches n'ont pas été réimplémentés comme systèmes concurrents, de sorte qu'aucune supériorité expérimentale directe sur eux n'est revendiquée. La vérification physique couvre FoodMart, AdventureWorks et SteelWheels, deux chemins backend (SQL Direct et XMLA/Mondrian), une trace instrumentée, 1000 sessions et des scénarios contrôlés multi-configuration : elle établit une faisabilité multi-contexte et une préservation observée dans les chemins testés, non une invariance universelle. Enfin, les p50/p95/p99 portent sur 118000 observations de décision sémantique et n'incluent ni latence SQL/XMLA, ni contention, ni débit multi-utilisateur; la caractérisation structurelle décrit la croissance du CKG jusqu'au facteur 40 et ne constitue pas un benchmark de capacité industrielle.",Bound ablation/comparator interpretation to existing controlled evidence; no new result.
FR,A7-22,claim consolidation,"Dans les configurations testées, le prototype se comporte conformément au modèle de raisonnement MCAD, préserve le comportement décisionnel dans les chemins backend exercés et présente le coût sémantique mesuré. Robustesse et ablations soutiennent le rôle interne des maillons relativement à la spécification contrôlée; ALLOW/BLOCK reste une simple instanciation de politique.","Dans les configurations testées, le prototype se comporte conformément au modèle de raisonnement MCAD, préserve le comportement décisionnel dans les chemins backend exercés et présente le coût sémantique mesuré. La robustesse contrôlée et les ablations ciblées montrent que les maillons manipulés sont comportementalement conséquents sous la spécification de référence du benchmark; ALLOW/BLOCK reste une simple instanciation de politique.",Bound ablation/comparator interpretation to existing controlled evidence; no new result.
